ain3[N],ain4[N],ain5[N]
0.688,3.824,7.567
0.000,4.101,6.242
0.000,4.101,6.242
0.688,4.173,4.972
0.688,4.173,4.972
0.000,4.101,4.247
0.000,4.101,4.247
0.688,5.240,3.824
0.000,4.555,3.565
0.000,4.555,3.565
0.000,3.692,3.824
0.000,3.692,3.824
0.000,3.267,3.692
0.000,3.267,3.692
0.000,3.383,3.443
0.000,3.383,3.443
0.000,3.503,3.503
0.000,3.503,3.503
0.000,3.503,3.383
0.000,3.503,3.383
0.000,3.443,3.324
0.000,3.443,3.324
0.000,3.099,3.267
0.000,3.099,3.267
0.000,2.557,3.210
0.000,2.557,3.210
0.000,2.512,2.993
0.000,2.512,2.993
0.000,2.695,2.791
0.000,2.695,2.791
0.000,2.993,2.840
0.000,2.993,2.840
0.000,2.941,3.099
0.000,2.941,3.099
0.000,2.840,2.993
0.000,2.840,2.993
0.000,2.742,2.941
0.000,2.742,2.993
0.000,2.742,2.993
0.000,2.648,3.046
0.000,2.648,3.046
0.000,2.648,3.099
0.000,2.648,3.099
0.000,2.343,2.941
0.000,2.343,2.941
0.000,2.262,2.890
0.000,2.262,2.890
0.000,2.146,2.993
0.000,2.146,2.993
0.000,2.146,2.993
0.000,2.146,2.993
0.000,2.072,2.993
0.000,2.146,2.993
0.000,2.146,2.993
0.000,2.037,2.941
0.000,2.037,2.941
0.000,1.866,3.046
0.000,1.866,3.046
0.000,1.770,3.046
0.000,1.770,3.046
0.000,1.566,3.099
0.000,1.315,3.046
0.000,1.315,3.046
0.000,1.143,2.840
0.000,1.143,2.840
0.000,1.184,2.742
0.000,1.184,2.742
0.000,1.270,3.046
0.000,1.315,2.602
0.000,1.315,2.602
0.000,1.539,2.695
0.000,1.539,2.695
0.000,1.710,2.648
0.000,1.710,2.648
0.000,1.866,2.695
0.000,1.866,2.695
0.000,1.932,2.512
0.000,1.866,2.469
0.000,1.866,2.469
0.000,1.866,2.648
0.000,1.866,2.648
0.000,1.680,2.602
0.000,1.740,2.602
0.000,1.740,2.602
0.000,1.710,2.426
0.000,1.680,2.223
0.000,1.680,2.223
0.000,1.710,2.146
0.000,1.710,2.146
0.000,1.622,2.001
0.000,1.539,2.001
0.000,1.539,2.001
0.000,1.460,2.037
0.000,1.460,2.037
0.000,1.338,1.866
0.000,1.315,1.834
0.000,1.315,1.834
0.000,1.184,1.932
0.000,1.104,1.834
0.000,1.104,1.834
0.000,1.143,1.770
0.000,1.123,1.566
0.000,1.123,1.566
0.000,1.226,1.460
0.000,1.226,1.460
0.000,1.248,1.460
0.000,1.315,1.410
0.000,1.315,1.410
0.000,1.435,1.622
0.000,1.435,1.622
0.000,1.651,1.802
0.000,1.651,1.802
0.000,1.770,2.072
0.000,1.770,2.072
0.000,1.966,2.426
0.000,1.966,2.426
0.000,2.512,3.046
0.000,3.154,3.565
0.000,3.154,3.565
0.688,3.628,4.717
0.688,3.628,4.717
0.688,4.476,5.522
0.688,5.426,6.242
0.688,5.426,6.242
0.688,6.242,7.836
0.688,8.704,8.704
0.688,9.499,9.173
0.688,9.499,9.173
0.688,9.173,10.551
0.688,10.188,9.335
0.688,10.188,9.335
0.700,11.516,10.368
0.688,12.137,9.014
0.688,12.137,9.014
0.700,12.569,7.180
0.700,12.791,7.055
0.700,12.791,7.055
0.700,13.247,5.522
0.713,13.718,5.719
0.713,13.718,5.719
0.725,13.961,5.149
0.725,14.713,4.635
0.725,14.713,4.635
0.725,14.458,4.555
0.725,14.458,4.555
0.725,14.973,4.173
0.725,14.458,4.101
0.725,14.458,4.101
0.713,14.458,3.692
0.713,14.458,3.692
0.713,14.713,3.757
0.700,13.247,3.824
0.700,13.247,3.824
0.700,12.137,3.824
0.688,10.011,3.628
0.688,10.011,3.628
0.688,7.567,3.046
0.688,7.567,3.046
0.000,5.522,2.791
0.000,4.322,2.602
0.000,3.267,2.223
0.000,2.890,2.343
0.000,2.791,2.512
0.000,2.791,2.512
0.000,2.648,2.426
0.000,2.426,2.109
0.000,2.426,2.109
0.000,2.262,2.343
0.000,2.001,2.941
0.000,2.001,2.941
0.000,2.072,3.503
0.000,2.072,3.503
0.000,2.072,3.503
0.000,2.262,6.694
0.000,2.557,7.435
0.000,2.557,7.435
0.000,2.223,6.352
0.000,1.710,5.240
0.000,1.899,3.692
0.000,1.899,3.692
0.000,1.410,3.324
0.000,1.270,3.891
0.000,1.270,3.891
0.000,1.292,4.322
0.000,1.410,3.891
0.000,1.410,3.891
0.000,1.566,3.443
0.000,1.566,3.443
0.000,1.680,3.565
0.000,1.680,3.565
0.000,1.680,3.565
0.000,1.680,3.565
0.000,2.941,4.801
0.000,2.941,4.801
0.688,3.324,4.972
0.688,3.628,5.922
0.688,3.628,5.922
0.688,3.692,6.578
0.688,3.891,7.306
0.688,3.891,7.306
0.688,4.322,7.567
0.688,4.322,7.567
0.688,4.398,7.836
0.688,4.398,7.836
0.688,4.398,7.836
0.700,5.059,8.704
0.700,5.059,8.704
0.688,5.522,8.857
0.688,5.522,8.857
0.700,5.820,9.173
0.700,5.820,9.173
0.700,6.133,8.704
0.700,6.133,8.704
0.700,6.242,8.404
0.700,6.242,8.404
0.688,5.922,8.553
0.688,5.922,8.553
0.688,5.922,6.133
0.688,5.922,6.133
0.688,5.922,5.522
0.688,5.922,5.522
0.688,5.820,5.149
0.688,5.820,5.149
0.688,6.133,5.149
0.688,6.133,5.149
0.688,7.180,5.149
0.688,7.180,5.149
0.688,7.836,5.059
0.688,7.836,5.059
0.688,8.553,4.972
0.688,8.553,4.972
0.688,8.115,5.522
0.688,8.115,5.522
0.688,7.836,5.619
0.688,7.836,5.619
0.688,7.435,5.820
0.688,7.435,5.820
0.700,8.704,5.719
0.700,8.704,5.719
0.700,9.014,5.922
0.700,9.014,5.922
0.713,10.737,5.820
0.713,10.737,5.820
0.713,11.316,5.426
0.713,11.316,5.426
0.700,11.316,4.801
0.700,11.316,4.801
0.700,10.927,4.322
0.700,10.927,4.322
0.700,10.927,3.891
0.700,10.927,3.891
0.700,10.737,4.030
0.700,10.737,4.030
0.700,10.737,4.635
0.700,10.737,4.635
0.700,10.737,4.885
0.700,10.737,4.885
0.700,10.737,4.885
0.700,10.551,5.149
0.700,10.551,5.149
0.688,10.188,5.240
0.688,10.188,5.240
0.688,9.667,5.332
0.688,9.667,5.332
0.688,9.173,5.522
0.688,9.173,5.522
0.688,7.836,5.332
0.688,7.836,5.332
0.688,6.352,5.719
0.688,6.352,5.719
0.688,6.027,5.522
0.688,6.027,5.522
0.688,6.027,5.522
0.688,4.801,5.332
0.688,4.801,5.332
0.000,4.635,5.240
0.000,4.635,5.240
0.000,4.173,5.240
0.000,4.173,5.240
0.000,3.824,5.332
0.000,2.602,5.149
0.000,2.602,5.149
0.000,2.602,5.149
0.000,2.469,5.149
0.000,2.469,5.149
0.000,2.302,5.240
0.000,2.302,5.240
0.000,2.262,5.240
0.000,2.262,5.240
0.000,2.426,5.922
