ain3[N],ain4[N],ain5[N]
0.688,2.072,2.426
0.688,2.072,2.426
0.000,1.622,1.123
0.000,1.622,1.123
0.000,1.622,1.123
0.000,1.143,1.143
0.000,1.143,1.143
0.000,1.163,1.123
0.000,1.163,1.123
0.000,1.163,1.123
0.000,1.226,1.104
0.000,1.226,1.104
0.000,1.248,1.104
0.000,1.248,1.104
0.000,1.270,1.123
0.000,1.270,1.123
0.000,1.292,1.143
0.000,1.292,1.143
0.000,1.338,1.163
0.000,1.338,1.163
0.000,1.362,1.163
0.000,1.362,1.163
0.000,1.362,1.163
0.000,1.338,1.143
0.000,1.338,1.143
0.000,1.338,1.143
0.000,1.338,1.143
0.000,1.362,1.163
0.000,1.362,1.163
0.000,1.362,1.163
0.000,1.386,1.163
0.000,1.386,1.163
0.000,1.386,1.184
0.000,1.386,1.184
0.000,1.362,1.205
0.000,1.362,1.205
0.000,1.362,1.205
0.000,1.362,1.184
0.000,1.362,1.184
0.000,1.362,1.184
0.000,1.362,1.184
0.000,1.386,1.184
0.000,1.386,1.184
0.000,1.386,1.184
0.000,1.386,1.205
0.000,1.386,1.205
0.000,1.410,1.205
0.000,1.410,1.205
0.000,1.410,1.205
0.000,1.410,1.205
0.000,1.410,1.205
0.000,1.410,1.226
0.000,1.410,1.226
0.000,1.410,1.226
0.000,1.410,1.226
0.000,1.435,1.226
0.000,1.435,1.226
0.000,1.410,1.205
0.000,1.512,1.338
0.713,1.539,1.338
0.000,1.512,1.338
0.000,1.512,1.338
0.000,1.539,1.338
0.000,1.512,1.338
0.000,1.539,1.338
0.000,1.539,1.338
0.000,1.539,1.338
0.000,1.539,1.338
0.000,1.539,1.338
0.000,1.539,1.338
0.000,1.566,1.338
0.000,1.566,1.338
0.000,1.539,1.338
0.000,1.539,1.338
0.000,1.539,1.338
0.000,1.539,1.338
0.000,1.539,1.338
0.000,1.539,1.338
0.000,1.539,1.338
0.000,1.539,1.338
0.000,1.539,1.338
0.000,1.539,1.338
0.000,1.539,1.338
0.000,1.539,1.338
0.000,1.539,1.338
0.000,1.539,1.338
0.000,1.539,1.338
0.000,1.539,1.338
0.000,1.539,1.338
0.000,1.539,1.338
0.000,1.386,1.338
0.000,1.386,1.338
0.000,1.386,1.338
0.000,1.386,1.362
0.000,1.386,1.362
0.000,1.410,1.362
0.000,1.410,1.362
0.000,1.435,1.362
0.000,1.435,1.362
0.000,1.435,1.362
0.000,1.435,1.362
0.000,1.435,1.362
0.000,1.435,1.338
0.000,1.435,1.338
0.000,1.435,1.362
0.000,1.435,1.362
0.000,1.435,1.362
0.000,1.460,1.292
0.000,1.460,1.292
0.000,1.460,1.315
0.000,1.460,1.315
0.000,1.292,1.315
0.000,1.292,1.315
0.000,1.205,1.292
0.000,1.205,1.292
0.000,1.292,1.292
0.000,1.292,1.292
0.000,1.270,1.386
0.000,1.270,1.386
0.000,1.386,1.680
0.000,1.386,1.680
0.688,2.840,2.941
0.688,2.840,2.941
0.700,5.619,4.322
0.700,9.335,6.133
0.700,9.335,6.133
0.713,11.926,8.404
0.713,11.926,8.404
0.713,16.058,9.838
0.713,16.058,9.838
0.725,16.924,11.120
0.725,16.924,11.120
0.725,16.924,11.120
0.713,19.811,10.737
0.713,19.811,10.737
0.713,19.467,10.011
0.713,19.467,10.011
0.700,13.961,6.933
0.700,4.972,2.557
0.700,4.972,2.557
0.000,1.566,1.315
0.000,1.566,1.315
0.000,1.270,1.163
0.000,1.270,1.163
0.000,1.315,1.226
0.000,1.315,1.226
0.000,1.315,1.226
0.000,1.292,1.270
0.000,1.292,1.270
0.000,1.315,1.270
0.000,1.315,1.270
0.000,1.315,1.270
0.000,1.315,1.270
0.000,1.315,1.292
0.000,1.315,1.292
0.000,1.315,1.292
0.000,1.338,1.270
0.000,1.338,1.270
0.000,1.338,1.292
0.000,1.338,1.292
0.000,1.362,1.292
0.000,1.362,1.292
0.000,1.362,1.292
0.000,1.338,1.292
0.000,1.338,1.292
0.000,1.338,1.315
0.000,1.338,1.315
0.000,1.362,1.315
